6734;1453
2233;0010
5530;1424
0401;0841
3082;1644
7608;4458
7573;3716
7265;1268
6898;1885
1112;2049
5468;2606
5989;2873
4706;2674
4612;2035
6347;2683
6107;0669
7611;5184
7462;3590
7732;4723
5900;3561
4483;3369
6101;1110
5199;2182
1633;2809
4307;2322
0675;1006
7555;4819
7541;3981
3177;0756
7352;4506
7545;2801
3245;3305
6426;3173
4608;1198
0023;2216
7248;3779
7762;4595
7392;2244
3484;2829
6271;2135
4985;0140
1916;1569
7280;4899
7509;3239
0010;2676
6807;2993
5185;3258
3023;1942
